State,Annua_Q42007,Q42015_Q42016
United States,1.72,2.07
Alabama,0.97,1.63
Alaska,2.03,-1.77
Arizona,1.22,3.04
Arkansas,1.41,1.66
California,2.24,3.00
Colorado,2.43,2.83
Connecticut,0.94,1.23
Delaware,1.30,1.71
Florida,1.48,3.45
Georgia,1.48,2.83
Hawaii,1.84,2.76
Idaho,1.79,2.45
Illinois,0.82,0.96
Indiana,1.81,1.92
Iowa,1.53,0.25
Kansas,1.59,1.58
Kentucky,1.42,0.46
Louisiana,1.27,0.56
Maine,0.98,1.37
Maryland,1.48,2.33
Massachusetts,2.01,2.66
Michigan,1.31,1.62
Minnesota,1.75,1.67
Mississippi,0.94,1.41
Missouri,1.11,1.83
Montana,1.79,1.43
Nebraska,1.97,1.06
Nevada,0.81,4.51
New Hampshire,1.65,2.79
New Jersey,1.14,1.79
New Mexico,1.13,0.77
New York,1.57,1.40
North Carolina,1.42,2.30
North Dakota,4.51,-1.34
Ohio,1.30,1.07
Oklahoma,2.04,-0.40
Oregon,2.06,2.60
Pennsylvania,1.38,1.66
Rhode Island,1.16,1.59
South Carolina,2.06,2.38
South Dakota,1.67,-0.53
Tennessee,1.94,1.65
Texas,3.03,2.10
Utah,2.63,4.21
Vermont,1.38,1.92
Virginia,1.54,1.96
Washington,2.10,3.67
West Virginia,1.12,0.17
Wisconsin,1.40,1.33
Wyoming,1.54,-1.91
