State,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
United States,2.66,2.14,-4.04,1.9,4.06,3.17,-0.43,3.36,3.36,2.24
Alabama,2.31,1.61,-2.15,2.44,1.22,0.72,-0.49,1.76,2.15,1.91
Alaska,5.04,8.33,-1.12,4.77,4.86,1.73,-3.06,4.23,1.97,-2.32
Arizona,2.65,-0.23,-5.29,-0.75,2.89,2.7,0.89,3.74,3.44,2.97
Arkansas,3.92,2.7,-2.38,1,4.71,5.48,-1.77,2.89,1.09,1.86
California,1.17,0.1,-4.18,2.37,4.66,4.51,-0.34,4.36,5.23,3.1
Colorado,3.71,1.41,-5.76,0.53,6.87,4.51,3.73,6.16,3.09,2.5
Connecticut,4.4,4.22,-1.61,2.09,0.98,0.12,-2.89,2.17,1.77,1.64
Delaware,-0.01,-0.56,-1.1,-0.86,5.17,-1.15,-0.08,2.64,5.18,1.56
Florida,1.15,-1.4,-6.61,4.04,4.07,0.7,-0.87,4.93,4.42,3.5
Georgia,1.92,-0.89,-2.23,0.56,4.75,-0.25,-0.06,3.79,3.88,3.4
Hawaii,2.39,3.32,-1.1,0.66,1.7,2.79,-0.08,3.26,3.64,3.11
Idaho,3.72,1.36,-4.31,0.77,3.68,3.08,2.34,3.63,3.49,2.26
Illinois,3.03,1.02,-5.8,0.84,2.89,2.61,0.62,2.18,2.4,1.78
Indiana,1.04,2.94,-3.22,2.17,4.48,2.63,-0.27,1.98,2.89,2.56
Iowa,4.34,4.31,-3.88,0.92,6,2.7,0.32,1.62,2.71,0.97
Kansas,5.12,7.59,-4.69,-0.29,6.66,4.05,0.99,-0.3,0.89,1.43
Kentucky,1.96,3.17,-2.13,1.74,2.79,1.66,-1.22,2.59,3.31,1.3
Louisiana,6.5,5.04,-3.52,2.56,1.07,3.64,-0.89,2.92,2.1,0.18
Maine,1.24,2.31,-0.95,0.19,1.69,0.4,-1.87,2.22,2.6,2.36
Maryland,1.13,2.92,-1.14,1.91,3.29,1.34,-2.15,1.55,3.01,2.34
Massachusetts,2,2.3,-1.67,2.7,2.72,2.38,-0.88,3.14,4.52,2.96
Michigan,0.11,0.22,-5.86,2.14,4.08,1.72,-0.16,2.75,3.53,2.3
Minnesota,2.85,2.95,-5.32,2.72,4.52,4.52,-0.81,2.88,3.05,1.68
Mississippi,3.6,3.21,-2.87,1.74,2.05,2.02,-0.19,0.73,0.73,1.89
Missouri,2.23,3.47,-2.45,0.21,1.92,2.91,-1.3,1.68,2.14,2.18
Montana,4.82,4.1,-3.17,2.76,5.15,4.26,-1.47,1.84,2.85,0.99
Nebraska,5.09,4.41,-2.4,3.03,9.22,1.55,-1.32,4.27,0.09,1.5
Nevada,0.96,-3.24,-6.15,0.96,1.64,2.63,-1.07,4.05,4.25,4.57
New Hampshire,0.92,0.86,-2.07,1.89,3.11,2.91,-1.91,2.5,3.34,3.29
New Jersey,2.05,1.88,-3.61,0.84,2.71,1.69,-0.9,2.61,2.96,1.87
New Mexico,3.15,4.54,-2.24,1.95,3.44,0.43,-3.4,3.64,2.37,0.77
New York,4.17,0.21,-3.12,1.9,3.96,4.36,0.14,2.58,2.65,1.58
North Carolina,5.15,5.13,-4.51,-1.48,2.12,4.94,-2.65,3.3,3.5,2.76
North Dakota,8.44,12.08,-2.27,9.02,10.81,16.3,0.52,4.46,-2.22,-2.78
Ohio,1.4,1.51,-3.54,0.97,4.64,1.92,-0.4,2.02,2.39,1.68
Oklahoma,1.72,9.19,-9.36,2.75,5.67,5.78,3.16,4.57,0.75,-0.75
Oregon,2.01,2.87,-4.4,0.35,3.45,3.53,0.13,4.83,5.42,3.18
Pennsylvania,3.58,2.43,-3.26,2.33,2.95,2.54,-0.98,2.25,2.7,1.59
Rhode Island,1.35,0.41,-3.34,3.13,1.5,2.32,-1.24,2.04,3.18,1.79
South Carolina,3.82,2.83,-3.22,1.44,3.8,3.44,-0.48,3.92,4.23,3.05
South Dakota,8.34,5.61,-4.1,3.82,7.54,0.31,-1.26,2.18,3.68,-0.15
Tennessee,2.3,2.72,-1.77,2.51,3.6,2.56,-0.88,2.66,4.34,2.5
Texas,3.98,7.97,-6.01,3.84,7.24,5.57,0.44,5.55,3.36,1.58
Utah,6.02,3.49,-5.42,0.88,5.76,5.01,1.47,4.04,5.11,4.2
Vermont,2.57,3.19,-2.17,0.69,4.13,1.44,0.06,1.52,1.85,1.99
Virginia,2.77,1.69,-2.82,2.54,3.83,2.84,-2.37,2.31,3.46,2.22
Washington,5.74,3.3,-5.8,0.75,3.85,6.28,0.45,4.88,3.51,3.41
West Virginia,0.89,4.96,0.09,1.25,3.87,0.61,-2.22,1.21,1.39,-0.32
Wisconsin,1.89,2.02,-2.47,0.69,3.79,2.8,-0.86,2.39,2.51,1.76
Wyoming,3.17,8.68,-8.71,3.96,7.28,6.38,-0.67,4.66,-0.62,-2.93
