Township,County,ExemRate
Lisle,DuPage*,87.95
Naperville,DuPage*,89.06
Downers Grove,DuPage*,90.49
Addison,DuPage*,91.31
Winfield,DuPage*,92.89
Bloomingdale,DuPage*,93.55
Milton,DuPage*,94.29
York,DuPage*,94.73
Wayne,DuPage*,95.09
DuPage,DuPage*,91.03
Wheatland,DuPage*,92.13
Aurora,Kane,72.32
Kaneville,Kane,76.7
Big Rock,Kane,77.31
Virgil,Kane,77.87
Elgin,Kane,79.45
Dundee,Kane,79.56
Burlington,Kane,80.17
Hampshire,Kane,85.42
St. Charles,Kane,85.51
Rutland,Kane,86.31
Plato,Kane,86.52
Batavia,Kane,86.99
Geneva,Kane,87.22
Sugar Grove,Kane,88.15
Blackberry,Kane,89.65
Campton,Kane,90.38
Grant,Lake,70.04
Antioch,Lake,74.34
Avon,Lake,79.06
Libertyville,Lake,80.79
Wauconda,Lake,81.65
Warren,Lake,83.08
Lake Villa,Lake,84.35
Vernon,Lake,85.11
Cuba,Lake,85.37
Fremont,Lake,88.91
Ela,Lake,92.85
McHenry,McHenry,76.41
Algonquin,McHenry,81.25
Nunda,McHenry,82.71
Grafton,McHenry,89.94
Barrington,NW Cook,72.15
Elk Grove,NW Cook,72.81
Palatine,NW Cook,73.2
Maine,NW Cook,74.97
Hanover,NW Cook,75.35
Leyden,NW Cook,75.58
Schaumburg,NW Cook,76.35
Wheeling,NW Cook,76.96
