Year_Quarter,Total_CFS,Total_arrests,Total_RTR_incidents,SOF_only,UOF_only,Total_transitions,Handgun_drawn_NP,Handgun_pointed,Handgun_discharged,Total_handgun,Traser_drawn_NP,Taser_pointed,Taser_fired,Total_taser,Officer_noInjuries,Officer_minor,Officer_mayor,Total_officer,Suspect_noInjuries,Suspect_minor,Suspect_major,Total_suspect
2014 1Q,19217,989,32,12,18,2,3,10,0,13,0,3,2,5,25,7,0,7,27,5,0,5
2014 2Q,21265,1178,25,7,15,3,1,6,0,7,2,2,1,5,19,6,0,6,18,7,0,7
2014 3Q,21994,1246,36,11,20,5,5,2,0,7,2,6,3,11,27,8,1,9,25,11,0,11
2014 4Q,18182,1047,28,6,19,3,1,3,0,4,0,2,6,8,22,5,1,6,25,3,0,3
2015 1Q,18178,1014,34,10,16,8,1,9,0,10,2,5,1,8,30,4,0,4,30,3,1,4
2015 2Q,19812,929,32,9,21,2,3,3,0,6,1,4,5,10,28,3,1,4,23,8,1,9
2015 3Q,22530,1000,35,12,16,7,0,10,0,10,2,9,8,19,34,1,0,1,27,8,0,8
2015 4Q,20276,889,55,19,24,12,6,12,0,18,3,16,8,27,47,8,0,8,47,8,0,8
2016 1Q,23423,1046,50,12,32,6,5,4,0,9,6,6,9,21,43,7,0,7,42,8,0,8
2016 2Q,24715,962,52,13,31,8,7,8,0,15,3,10,3,16,46,6,0,6,46,6,0,6
2016 3Q,24680,954,56,14,35,7,1,6,0,7,1,14,6,21,51,5,0,5,42,14,0,14
2016 4Q,21822,905,41,15,16,10,8,7,0,15,3,8,4,15,37,3,1,4,37,4,0,4
